drug_id,drug_name,atc_code
CID100003512,Griseofulvin,D01AA08
CID100003512,Griseofulvin,D01BA01
CID100003516,Guaifenesin,R05CA03
CID100003517,Icodextrin,
CID100003519,Guanfacine,C02AC02
CID100003520,Guanidinium,
CID100003553,Halcinonide,D07AD02
CID100003559,Haloperidol,N05AD01
CID100003598,Hexachlorophene,D08AE01
CID100003623,Homatropine,S01FA05
CID100003636,Buscopan,A03BB01
CID100003637,Hydralazine,C02DB02
CID100003639,Hydrochlorothiazide,C03AA03
CID100003640,Cortisol,A01AC03
CID100003640,Cortisol,A07EA02
CID100003640,Cortisol,C05AA01
CID100003640,Cortisol,D07AA02
CID100003640,Cortisol,D07XA01
CID100003640,Cortisol,H02AB09
CID100003640,Cortisol,S01BA02
CID100003640,Cortisol,S01CB03
CID100003640,Cortisol,S02BA01
CID100003642,Hydrocortisone,D07AB02
CID100003647,Hydroflumethiazide,C03AA02
CID100003648,Hydromorphone,N02AA03
CID100003652,Hydroxychloroquine,P01BA02
CID100003657,Hydroxyurea,L01XX05
CID100003658,Hydroxyzine,N05BB01
CID100003661,Atropine,A03BA01
CID100003661,Atropine,A03BA03
CID100003661,Atropine,S01FA01
CID100003661,Atropine,V03AB14
CID100003672,Ibuprofen,C01EB16
CID100003672,Ibuprofen,G02CC01
CID100003672,Ibuprofen,M01AE01
CID100003672,Ibuprofen,M01AE14
CID100003672,Ibuprofen,M02AA13
CID100003675,Phenelzine,N06AF03
CID100003676,Lidocaine,C01BB01
CID100003676,Lidocaine,C05AD01
CID100003676,Lidocaine,D04AB01
CID100003676,Lidocaine,N01BB02
CID100003676,Lidocaine,R02AD02
CID100003676,Lidocaine,S01HA07
CID100003676,Lidocaine,S02DA01
CID100003685,Idarubicin,L01DB06
CID100003687,Idurd,D06BB01
CID100003687,Idurd,J05AB02
CID100003687,Idurd,S01AD01
CID100003690,Ifosfamide,L01AA06
CID100003696,Imipramine,N06AA02
CID100003702,Indapamide,C03BA11
CID100003706,Indinavir,J05AE02
CID100003715,Indomethacin,C01EB03
CID100003715,Indomethacin,M01AB01
CID100003715,Indomethacin,M02AA23
CID100003715,Indomethacin,S01BC01
CID100003724,Iodixanol,V08AB09
CID100003730,Iohexol,V08AB02
CID100003734,Iopamidol,V08AB04
CID100003736,Iopromide,V08AB05
CID100003737,Sodium,V08AA04
CID100003738,Iotrolan,V08AB06
CID100003739,Iodipamide,V08AC04
CID100003741,Ioversol,V08AB07
CID100003742,Ioxaglate,V08AB03
CID100003743,Ioxilan,V08AB12
CID100003746,Ipratropium,R01AX03
CID100003746,Ipratropium,R03BB01
CID100003749,Irbesartan,C09CA04
CID100003750,Irinotecan,L01XX19
CID100003759,Isocarboxazid,N06AF01
CID100003763,Isoflurane,N01AB06
CID100003767,Isoniazid,J04AC01
CID100003777,Isopropyl,
CID100003779,Isoproterenol,C01CA02
CID100003779,Isoproterenol,R03AB02
CID100003779,Isoproterenol,R03CB01
CID100003780,Isosorbide,C01DA08
CID100003780,Isosorbide,C05AE02
CID100003783,Isoxsuprine,C04AA01
CID100003784,Isradipine,C08CA03
CID100003793,Itraconazole,J02AC02
CID100003821,Ketamine,N01AX03
CID100003821,Ketamine,N01AX14
CID100003823,Ketoconazole,D01AC08
CID100003823,Ketoconazole,G01AF11
CID100003823,Ketoconazole,J02AB02
CID100003825,Ketoprofen,M01AE03
CID100003825,Ketoprofen,M01AE17
CID100003825,Ketoprofen,M02AA10
CID100003826,Ketorolac,M01AB15
CID100003826,Ketorolac,S01BC05
CID100003827,Ketotifen,R06AX17
CID100003827,Ketotifen,S01GX08
CID100003830,Cytokinin,B06AA03
CID100003848,Phenyllactate,
CID100003869,Labetalol,C07AG01
CID100003872,Lactulose,A06AD11
CID100003877,Lamivudine,J05AF05
CID100003878,Lamotrigine,N03AX09
CID100003883,Lansoprazole,A02BC03
