drug_name,gene,level_of_evidence
Simvastatin,ABCG2,3
Fluvastatin,ABCG2,3
"Folic Acid,Vitamin B-Complex, Plain",MTHFR,3
Folic Acid,MTHFR,3
"Interferon Alfa-2A, Recombinant,Ribavirin",HLA-B,3
Sacubitril,CES1,3
Sulfamethoxazole / Trimethoprim,GSTM1,3
Sulfamethoxazole / Trimethoprim,NAT2,3
Glucarpidase,"INSRR,NTRK1",3
Glucarpidase,,3
Glucarpidase,GATA3,3
Quetiapine,CYP3A4,3
Paclitaxel,CYP3A5,3
"Aspirin,Clopidogrel","JMJD8,WDR24",3
"Aspirin,Clopidogrel",EFR3A,3
"Aspirin,Clopidogrel",NECAB1,3
"Aspirin,Clopidogrel",AGAP3,3
"Aspirin,Clopidogrel",ECHS1,3
Diclofenac,CYP2C9,3
Atorvastatin,KIF6,3
"Aspirin,Clopidogrel",MYOM2,3
Acetaminophen,HLA-DQB1,3
Thioguanine,TPMT,3
Tenofovir Disoproxil Fumarate,ABCC10,3
Tenofovir Disoproxil Fumarate,ABCC4,3
Digoxin,NOS1AP,3
Highly Active Antiretroviral Therapy (Haart),ABCB1,3
"Carboplatin,Paclitaxel",CYP3A5,3
Methotrexate,AHRR,3
Ketoprofen,CYP2C9,3
Methoxsalen,CYP2A6,3
"Naloxone,Oxycodone",OPRM1,3
"Naloxone,Oxycodone",COMT,3
Letrozole,CYP2A6,3
Buprenorphine / Naloxone,UGT2B7,3
Nifedipine,CYP3A4,3
Clopidogrel,N6AMT1,3
Clopidogrel,PTGS1,3
Beta Blocking Agents,ADRA2C,3
Beta Blocking Agents,GRK5,3
Sorafenib,TNF,3
Glucarpidase,SLCO1B1,3
Glucarpidase,ABCC4,3
"Atenolol,Verapamil",GRK4,3
"Sulfonamides, Urea Derivatives",CYP2C19,3
Clozapine,HLA-DRB1,3
Carbamazepine,HLA-DRB1,3
Sorafenib,PIK3R5,3
Sorafenib,EGFR,3
Sorafenib,VEGFB,3
Sorafenib,EPAS1,3
Regorafenib,KDR,3
Sorafenib,PRKCE,3
Sorafenib,ADAMTS18,3
Sorafenib,MAP2K6,3
Sorafenib,CDH13,3
Sorafenib,WWOX,3
Losartan,CAMK1D,3
Sufentanil,CYP3A4,3
Tacrolimus,CYP3A4,3
Atorvastatin,CYP3A4,3
Sevoflurane,"FASTKD3,MTRR",3
Sevoflurane,GABRA2,3
Sevoflurane,KCNK3,3
Sevoflurane,"CYP2E1,DUX1",3
Sevoflurane,CYP2E1,3
Sevoflurane,KCNK2,3
Sevoflurane,GRIN2B,3
Methotrexate,HLA-C,3
Nevirapine,HLA-DQB1,3
Minocycline,HLA-B,3
Azathioprine,ITPA,3
"Aspirin,Clopidogrel",ZDHHC3,3
Cyclosporine,CALM1,3
Cyclosporine,,3
Citalopram,HTR2A,3
Escitalopram,HTR2A,3
Paroxetine,HTR2A,3
Selective Serotonin Reuptake Inhibitors,HTR2A,3
Fluvoxamine,SLC6A4,3
Paroxetine,SLC6A4,3
Fluoxetine,SLC6A4,3
Antidepressants,SLC6A4,3
Selective Serotonin Reuptake Inhibitors,SLC6A4,3
Escitalopram,CYP2D6,3
Vincristine,CEP72,3
Mianserin,CYP2D6,3
Rabeprazole,CYP2C19,3
Glucarpidase,ARID5B,3
N-Desmethyltamoxifen,CYP2D6,3
Fentanyl,CALCA,3
Aspirin,CYP2D6,3
"Capecitabine,Fluorouracil,Xelox",DPYD,3
"Capecitabine,Fluorouracil",DPYD,3
"Capecitabine,Fluorouracil",DPYS,3
"Capecitabine,Fluorouracil",PPARD,3
"Alkylating Agents,Cisplatin",ESR1,3
"Succinylcholine,Volatile Anesthetics",RYR1,3
"Mycophenolic Acid,Tacrolimus",ABCC2,3
Antidepressants,ERICH3,3
Pravastatin,KIF6,3
Clozapine,CYP1A2,3
"Capecitabine,Fluorouracil",MIR27A,3
"Antivirals For Treatment Of Hiv Infections, Combinations,Drugs For Treatment Of Tuberculosis",NAT2,3
Hydralazine,NAT2,3
Dipyrone,NAT2,3
Aripiprazole,ABCB1,3
Antidepressants,ABCB1,3
Qt-Prolonging Drugs,KCNE1,3
Tenofovir,ABCC4,3
Tenofovir,"IFNL3,IFNL4",3
Rifampin,AADAC,3
Mercaptopurine,"MED4,NUDT15",3
"Platinum Compounds,Radiotherapy",MEG3,3
"Ace Inhibitors, Plain",XPNPEP2,3
Platinum Compounds,XRCC1,3
Cyclophosphamide,"CYP2A7P1,CYP2B6",3
"Follitropin Beta,Menotropins,Thyrotropin Alfa,Urofollitropin",FSHR,3
"Follitropin Beta,Urofollitropin",FSHR,3
Menotropins,FSHR,3
Chorionic Gonadotropin,FSHR,3
Dihydroergotamine,HTR1B,3
Methysergide,HTR1B,3
Ketanserin,HTR1B,3
Sumatriptan,HTR1B,3
Doxorubicin,ABCC1,3
Rosuvastatin,ABCG2,3
Pd-1/Pdl-1 (Programmed Cell Death Protein 1/Death Ligand 1) Inhibitors,IL7,3
Elexacaftor / Tezacaftor / Ivacaftor,CFTR,3
Tumor Necrosis Factor Alpha (Tnf-Alpha) Inhibitors,HLA-DQA1,3
Infliximab,,3
Opioids,"CYP3A5,ZSCAN25",3
Opioids,CYP1A2,3
Opioids,CYP3A4,3
Rizatriptan,DRD2,3
Bevacizumab,KCNAB1,3
"Azathioprine,Purine Analogues",ITPA,3
Azathioprine,"DDRGK1,ITPA",3
Erenumab,COMT,3
Fremanezumab,COMT,3
Galcanezumab,COMT,3
Erenumab,,3
Fremanezumab,,3
Galcanezumab,,3
Aspirin,TNF,3
Diclofenac,"LST1,LTA,TNF",3
Ibuprofen,"LST1,LTA,TNF",3
Indomethacin,"LST1,LTA,TNF",3
Ketorolac,"LST1,LTA,TNF",3
Naproxen,"LST1,LTA,TNF",3
Topiramate,ABCB1,3
Nortriptyline,NOS3,3
Cisplatin,ACYP2,3
Fluorouracil,GSTP1,3
Drugs Used In Alcohol Dependence,GATA4,3
"Thiazides, Plain",SLCO2A1,3
Hydroxyurea,MAP3K5,3
Venlafaxine,HTR2A,3
Enalapril,ACE,3
"Anthracyclines And Related Substances,Daunorubicin,Doxorubicin",RARG,3
Quetiapine,CYP3A5,3
"Antiinflammatory Agents, Non-Steroids",HLA-DRB1,3
Pravastatin,MMP3,3
Risperidone,CNR1,3
Aripiprazole,ANKK1,3
Risperidone,"ANKK1,DRD2",3
Risperidone,DRD2,3
Bromperidol,DRD2,3
Nemonapride,DRD2,3
"Cytarabine,Daunorubicin,Dexrazoxane,Idarubicin",ABCB1,3
Sulfamethoxazole / Trimethoprim,HLA-B,3
Sulfamethoxazole / Trimethoprim,HLA-C,3
Etoposide,SLIT1,3
"Busulfan,Cyclophosphamide",CTH,3
Busulfan,CYP2C9,3
Busulfan,CYP2C19,3
"Amitriptyline,Antidepressants,Citalopram,Paroxetine,Venlafaxine",ABCB1,3
Carbamazepine,CYP1A2,3
Antipsychotics,CYP1A2,3
Dolutegravir,NR1I2,3
"Berberine,Coptisine",CYP2D6,3
"Codeine,N-Desmethyltamoxifen",CYP2D6,3
Bufuralol,CYP2D6,3
Sparteine,CYP2D6,3
Dextromethorphan,CYP2D6,3
"Aspirin,Clopidogrel","KRTAP10-4,TSPEAR",3
Olanzapine,CYP2D6,3
Lapatinib,HLA-DQA1,3
Lapatinib,HLA-DRB1,3
Acetaminophen,HLA-C,3
Atorvastatin,CYP7A1,3
"Sitagliptin,Vildagliptin",GLP1R,3
Liraglutide,GLP1R,3
Exenatide,GLP1R,3
Sitagliptin,GLP1R,3
Sitagliptin,KCNJ11,3
Sitagliptin,KCNQ1,3
"Levomethadone,Methadone,S-Eddp",UGT2B7,3
Nevirapine,CYP3A5,4
Mercaptopurine,MTHFR,4
Antiepileptics,ABCB1,4
Cyclophosphamide,XRCC1,4
Paclitaxel,CYP2C8,4
"Bisphosphonates,Pamidronate,Zoledronate",CYP2C8,4
Leflunomide,CYP1A2,4
Antipsychotics,CYP1A2,4
Warfarin,EPHX1,4
Lithium,CLOCK,4
"Mycophenolate Mofetil,Mycophenolic Acid",IMPDH2,4
Mycophenolate Mofetil,UGT1A9,4
Antidepressants,GNB3,4
Atorvastatin,SCAP,4
Amlodipine,CYP3A4,4
Fenofibrate,FABP1,4
Fluoxetine,BDNF,4
Gemcitabine,RRM1,4
Benazepril,ADRB2,4
Ranibizumab,VEGFA,4
Propranolol,CYP2D6,4
Mefloquine,G6PD,4
"Cisplatin,Cyclophosphamide",RAD52,4
Irinotecan,UGT1A9,4
Chloroquine,G6PD,4
"Antiepileptics,Carbamazepine,Phenobarbital,Phenytoin,Valproic Acid",SCN2A,4
Antiepileptics,ABCC2,4
Paroxetine,HTR3B,4
"Antiepileptics,Carbamazepine,Oxcarbazepine",ABCC2,4
"Citalopram,Escitalopram",,4
"Carbamazepine,Phenytoin,Valproic Acid",ABCB1,4
Capecitabine,ADCY2,4
Tacrolimus,CYP3A5,4
Carisoprodol,CYP2C19,4
"Cyclosporine,Mycophenolate Mofetil",IMPDH2,4
Clopidogrel,PON1,4
Clopidogrel,P2RY12,4
Carbamazepine,ABCB1,4
Cisplatin,GSTT1,4
Tenofovir,ABCC2,4
Docetaxel,VEGFA,4
Efavirenz,UGT2B7,4
"Drugs For Treatment Of Tuberculosis,Ethambutol,Isoniazid,Pyrazinamide,Rifampin,Streptomycin",GSTM1,4
"Drugs For Treatment Of Tuberculosis,Ethambutol,Isoniazid,Pyrazinamide,Rifampin,Streptomycin",GSTT1,4
Atorvastatin,CETP,4
Simvastatin,CETP,4
Efavirenz,CYP2A6,4
Photodynamic Therapy,CFH,4
Gefitinib,ABCG2,4
"Bevacizumab,Ranibizumab",HTRA1,4
"Dolasetron,Granisetron",CYP2D6,4
Simvastatin,CYP3A5,4
Methadone,DRD2,4
"Bevacizumab,Ranibizumab",CFH,4
Mycophenolate Mofetil,IMPDH1,4
Efavirenz,ABCB1,4
"Citalopram,Escitalopram",TSPAN5,4
"Hmg-Coa Reductase Inhibitors,Simvastatin",GATM,4
Lithium,NTRK2,4
Efavirenz,CYP3A5,4
Anthracyclines And Related Substances,FMO3,4
Anthracyclines And Related Substances,HNMT,4
Anthracyclines And Related Substances,,4
Anthracyclines And Related Substances,UGT1A6,4
Anthracyclines And Related Substances,ADH7,4
Anthracyclines And Related Substances,SLC22A2,4
Anthracyclines And Related Substances,ABCB4,4
Anthracyclines And Related Substances,ABCB1,4
Anthracyclines And Related Substances,SLC28A3,4
Anthracyclines And Related Substances,SLC10A2,4
Anthracyclines And Related Substances,SLC28A1,4
Anthracyclines And Related Substances,ABCC1,4
Anthracyclines And Related Substances,SPG7,4
Anthracyclines And Related Substances,CYP4F2,4
Anthracyclines And Related Substances,SULT2B1,4
Lamotrigine,HNF4A,4
Docetaxel,ERCC2,4
Ustekinumab,TNFAIP3,4
"Adalimumab,Etanercept,Infliximab",FCGR2A,4
Irinotecan,SLCO1B1,4
"Capecitabine,Fluorouracil,Leucovorin,Oxaliplatin",ABCG2,4
Fluorouracil,ABCB1,4
"Cisplatin,Fluorouracil",ABCB1,4
Tocilizumab,IL6R,4
Sirolimus,CYP3A4,4
Propofol,CYP2B6,4
Tacrolimus,IL10,4
"Salbutamol,Selective Beta-2-Adrenoreceptor Agonists",CRHR2,4
Carbamazepine,HNF4A,4
Methotrexate,SLCO1B1,4
Lumefantrine,CYP3A5,4
"Carbamazepine,Oxcarbazepine",SCN1A,4
"Carbamazepine,Clobazam,Ethosuximide,Lamotrigine,Levetiracetam,Oxcarbazepine,Valproic Acid",SCN1A,4
"Atazanavir,Ritonavir",ABCB1,4
Nevirapine,HLA-B,4
"Ace Inhibitors, Plain",KCNIP4,4
Nevirapine,CYP2B6,4
Buprenorphine,OPRD1,4
Allopurinol,PSORS1C1,4
Warfarin,NR1I3,4
"Capecitabine,Fluorouracil",MTHFR,4
Tacrolimus,ABCB1,4
"Cyclosporine,Tacrolimus",CYP3A5,4
Clopidogrel,ABCB1,4
Acenocoumarol,GGCX,4
Warfarin,GGCX,4
Citalopram,BDNF,4
Gemcitabine,SLC29A3,4
Methotrexate,,4
Methotrexate,PTPRM,4
Warfarin,ABCB1,4
Methotrexate,AMPD1,4
Platinum Compounds,ERCC2,4
"Adefovir Dipivoxil,Cidofovir,Tenofovir",SLC22A6,4
Adefovir Dipivoxil,SLC22A6,4
Lisinopril,ACE,4
Risperidone,ABCB1,4
Allopurinol,ABCG2,4
Methylphenidate,SLC6A2,4
Opioids,OPRM1,4
Cocaine,OPRM1,4
Nicotine,OPRM1,4
Clopidogrel,CYP3A4,4
Risperidone,COMT,4
Fentanyl,ABCB1,4
Morphine,ABCB1,4
Heroin,OPRM1,4
"Heroin,Methamphetamine",BDNF,4
Drugs For Treatment Of Tuberculosis,CYP2E1,4
Warfarin,CYP4F2,4
Valproic Acid,CYP2C19,4
Simvastatin,ABCB1,4
Morphine,UGT2B7,4
Cisplatin,LRP2,4
Efavirenz,CYP2B6,4
"Antidepressants,Citalopram,Escitalopram,Fluoxetine,Paroxetine",TPH1,4
Carvedilol,UGT1A1,4
Methadone,CYP2B6,4
Methadone,CYP3A5,4
Methadone,CYP2C9,4
Methadone,CYP2C19,4
"Artesunate,Chlorproguanil,Dapsone",G6PD,4
Venlafaxine,CYP2C19,4
Oxaliplatin,GSTP1,4
Methylphenidate,ADRA2A,4
Tacrolimus,POR,4
Platinum Compounds,ERCC1,4
"Drugs Used In Nicotine Dependence,Nicotine",OPRM1,4
Clopidogrel,CYP2C9,4
Azathioprine,ITPA,4
Aspirin,ITGB3,4
Tumor Necrosis Factor Alpha (Tnf-Alpha) Inhibitors,TNF,4
Mercaptopurine,ITPA,4
Risperidone,DRD2,4
Methadone,CYP2D6,4
Olanzapine,CYP3A5,4
Naproxen,CYP2C9,4
Fluorouracil,DPYD,4
Ivacaftor,CFTR,4
Sufentanil,OPRM1,4
Naltrexone,OPRM1,4
Rosuvastatin,SLCO1B1,4
Atenolol,ADRB1,4
Carvedilol,ADRB1,4
"Cannabinoids,Cocaine,Ethanol,Nicotine,Opioids",OPRM1,4
Ibuprofen,CYP2C8,4
Morphine,COMT,4
Everolimus,CYP3A4,4
Morphine,OPRM1,4
Pantoprazole,ABCB1,4
Lamotrigine,UGT2B7,4
Citalopram,CYP2D6,4
Warfarin,CYP2C9,4
Methotrexate,MTHFR,4
Irinotecan,UGT1A1,4
Sulfamethoxazole / Trimethoprim,G6PD,4
Sulfametopyrazine,G6PD,4
Methotrexate,SLC19A1,4
Cisplatin,ERCC1,4
Methotrexate,"C18ORF56,TYMS",4
Methotrexate,ABCB1,4
Warfarin,VKORC1,4
Oxcarbazepine,HLA-B,4
Methotrexate,TYMS,4
Warfarin,NQO1,4
Valproic Acid,UGT2B7,4
Methotrexate,ABCG2,4
Methotrexate,ABCC2,4
Methotrexate,MTR,4
Methotrexate,"FASTKD3,MTRR",4
Carbamazepine,HLA-B,4
Methadone,ABCB1,4
Oxycodone,CYP2D6,4
Oxycodone,OPRM1,4
Oxycodone,COMT,4
Methylphenidate,COMT,4
Citalopram,CYP2C19,4
Paclitaxel,ABCB1,4
Docetaxel,ABCB1,4
Beta Blocking Agents,ADRB1,4
Beta Blocking Agents,GRK5,4
Beta Blocking Agents,ADRB2,4
Carbamazepine,HLA-A,4
Fentanyl,CYP3A4,4
Fluoxetine,HTR2A,4
Antidepressants,HTR2A,4
Sertraline,HTR2A,4
Venlafaxine,HTR2A,4
Fluvoxamine,HTR2A,4
Paroxetine,HTR2A,4
Escitalopram,HTR2A,4
Citalopram,HTR2A,4
Venlafaxine,SLC6A4,4
Citalopram,SLC6A4,4
Escitalopram,SLC6A4,4
Sertraline,SLC6A4,4
Fluoxetine,SLC6A4,4
"Ace Inhibitors, Plain",BDKRB2,4
Methotrexate,ATIC,4
Simvastatin,SLCO1B1,4
Atorvastatin,SLCO1B1,4
Pravastatin,SLCO1B1,4
Tenofovir,ABCC4,4
Ethanol,OPRM1,4
Cyclophosphamide,"CYP2A7P1,CYP2B6",4
Methadone,OPRM1,4
Methadone,,4
Metformin,"ATM,C11ORF65",4
Risperidone,"ANKK1,DRD2",4
Simvastatin,CYP3A4,4
Liraglutide,GLP1R,4
"Sitagliptin,Vildagliptin","CTRB1,CTRB2",4
