drug_name,gene,level_of_evidence
Atenolol,ADRA2A,3
"Fentanyl,Morphine,Opioids,Oxycodone",RHBDF2,3
Citalopram,COL26A1,3
Efavirenz,HTR2A,3
Efavirenz,ABCG2,3
Sirolimus,ABCB1,3
"Gemcitabine,Platinum Compounds",CASP7,3
"Paclitaxel,Platinum Compounds",CASP7,3
Acetaminophen,UGT1A,3
Iloperidone,CYP2D6,3
"Capecitabine,Docetaxel",CYP1A1,3
Mirtazapine,CYP2B6,3
Olanzapine,HTR2C,3
Imatinib,ABCC4,3
"Adalimumab,Etanercept,Infliximab",TNFRSF1A,3
Tacrolimus,NOD2,3
Tacrolimus,CYP2C19,3
Enzymes,A2M,3
Benazepril,PRCP,3
Prasugrel,PEAR1,3
Paroxetine,HTR1B,3
"Antidepressants,Citalopram,Fluvoxamine,Paroxetine,Sertraline,Venlafaxine",ABCB1,3
Tramadol,SLC22A1,3
"Antidepressants,Fluvoxamine,Paroxetine,Selective Serotonin Reuptake Inhibitors,Sertraline",HTR1A,3
Paroxetine,DRD3,3
"Citalopram,Fluoxetine,Paroxetine,Sertraline",SRP19,3
"Citalopram,Fluoxetine,Paroxetine,Sertraline",REEP5,3
Sertraline,,3
"Amodiaquine,Pyrimethamine,Sulfadoxine",G6PD,3
Trimipramine,CYP2C9,3
Escitalopram,,3
Escitalopram,CYP1A2,3
"Clomipramine,Liothyronine,Lithium,Nefazodone,Venlafaxine",HTR1B,3
Quetiapine,GRIN2B,3
Risperidone,GRIN2B,3
"Clomipramine,Nefazodone,Paroxetine,Venlafaxine",FKBP5,3
"Carboplatin,Cisplatin",AKT1,3
"Carboplatin,Cisplatin,Fluorouracil",SLC19A1,3
Cisplatin,GSTM1,3
Dobutamine,GNAS,3
Captopril,AGTR1,3
"Amisulpride,Antipsychotics,Olanzapine,Quetiapine,Risperidone",HTR1A,3
Antidepressants,TGFBR3,3
Antipsychotics,ZNF804A,3
Enalapril,ADRB2,3
"Benazepril,Imidapril",CYP11B2,3
Benazepril,AGT,3
"Bevacizumab,Ranibizumab",VEGFA,3
Candesartan,CYP11B2,3
"Carboplatin,Cisplatin",EIF3A,3
Citalopram,,3
Flunisolide,TBXT,3
Gemcitabine,DCK,3
Rituximab,TGFB1,3
Sn-38,SLCO1B1,3
Olanzapine,SV2C,3
L-Tryptophan,SLC22A2,3
Memantine,NR1I2,3
Simvastatin,PPARA,3
Talinolol,ABCB1,3
"Carboplatin,Docetaxel,Paclitaxel",OPRM1,3
"Carboplatin,Docetaxel,Paclitaxel",,3
"Carboplatin,Docetaxel,Paclitaxel",BCL2,3
"Carboplatin,Docetaxel,Paclitaxel",SOX10,3
Salbutamol,,3
"Citalopram,Escitalopram",GRK5,3
"Citalopram,Escitalopram",RFK,3
Hydrochlorothiazide,WNK1,3
Antipsychotics,HSPG2,3
Antipsychotics,GABRG3,3
Risperidone,ADRB2,3
"Anthracyclines And Related Substances,Taxanes",ABCB1,3
Hydrochlorothiazide,,3
Hydrochlorothiazide,PRKCA,3
Sorafenib,UGT1A9,3
Bisphosphonates,MEX3C,3
"Fluorouracil,Oxaliplatin",PARD3B,3
Antineoplastic Agents,DPYD,3
"Cisplatin,Irinotecan",DCBLD1,3
Antineoplastic Agents,SERPINA3,3
Nortriptyline,SLC39A14,3
Bisphosphonates,RBMS3,3
"Cisplatin,Irinotecan",ABCC4,3
Bisphosphonates,ABCC4,3
Bisphosphonates,CSRNP3,3
Bisphosphonates,ALDH1A2,3
"Lansoprazole,Omeprazole,Rabeprazole",IL1B,3
Salbutamol,CLOCK,3
"Thiazides, Plain",SLC12A3,3
Repaglinide,SLC30A8,3
"Peginterferon Alfa-2B,Ribavirin",OASL,3
Azathioprine,TPMT,3
Aspirin,PEAR1,3
"Cytarabine,Fludarabine,Gemtuzumab Ozogamicin,Idarubicin",SLC22A12,3
"Cytarabine,Fludarabine,Gemtuzumab Ozogamicin,Idarubicin",CYP2E1,3
"Cytarabine,Fludarabine,Gemtuzumab Ozogamicin,Idarubicin",SULT2B1,3
"Cytarabine,Fludarabine,Gemtuzumab Ozogamicin,Idarubicin",SLCO1B1,3
"Citalopram,Fluoxetine,Paroxetine,Sertraline",ABCB1,3
"Amitriptyline,Citalopram,Fluoxetine,Paroxetine,Sertraline,Venlafaxine",ABCB1,3
Sirolimus,CYP3A4,3
Timolol,CYP2D6,3
Didanosine,XDH,3
Didanosine,NT5C2,3
Lovastatin,CYP2D6,3
Irinotecan,SLC19A1,3
Capecitabine,CDA,3
Tamoxifen,ABCB1,3
Nifedipine,CYP3A5,3
Methacholine,ADRB2,3
Sipoglitazar,UGT2B15,3
Cyclosporine,CYP3A4,3
"Bumetanide,Furosemide,Torasemide",NPPA-AS1,3
Indinavir,UGT1A1,3
Fenofibrate,IL6,3
Imatinib,SLC22A5,3
Carvedilol,UGT1A1,3
"Cladribine,Cytarabine",RRM2,3
"Cladribine,Cytarabine",RRM2B,3
"Cladribine,Cytarabine",RRM1,3
Fluorouracil,ABCC11,3
Bisphosphonates,SFRP5,3
Methotrexate,DHFR,3
"Adalimumab,Etanercept,Infliximab,Tumor Necrosis Factor Alpha (Tnf-Alpha) Inhibitors",PTPRC,3
"Antiinflammatory Agents, Non-Steroids",CDKN2B-AS1,3
Debrisoquine,CYP2D6,3
"Cisplatin,Fluorouracil,Oxaliplatin",VEGFA,3
Zonisamide,HLA-A,3
"Peginterferon Alfa-2A,Peginterferon Alfa-2B,Ribavirin",IFNL3,3
Antipsychotics,BDNF-AS,3
Antipsychotics,BDNF,3
Cyclophosphamide,VEGFA,3
Montelukast,SLCO2B1,3
Gemcitabine,SLC29A1,3
"Carboplatin,Cisplatin",SLC31A1,3
Bisphosphonates,TBC1D32,3
"Fluorouracil,Oxaliplatin",,3
"Carboplatin,Cisplatin,Docetaxel,Erlotinib,Gefitinib,Paclitaxel",MAP3K1,3
"Cyclophosphamide,Doxorubicin",SLC22A16,3
"Cisplatin,Irinotecan",,3
"Atorvastatin,Simvastatin",ABCC2,3
Sildenafil,VEGFA,3
Methotrexate,TNFAIP3,3
Losartan,STK39,3
"Bupropion,Nicotine",EPB41,3
Antipsychotics,HTR2A,3
"Carboplatin,Cyclophosphamide,Thiotepa",ALDH1A1,3
Irinotecan,TOP1,3
Eculizumab,C5,3
Exemestane,,3
Capecitabine,,3
Glyburide,G6PD,3
Chloramphenicol,G6PD,3
Phenazopyridine,G6PD,3
Nitrofurantoin,G6PD,3
Morphine,ABCB1,3
Gemcitabine,CDA,3
